timestamp,container,cpu_pct,mem_used,mem_pct,net_io,block_io
2026-08-07T14:50:16.518894+00:00,dev-peer0.org3.example.com-sl-ledger_1.0-470c7b267d0276d2c935cc5d168e0b4ff003335940b5924ccd0e77bd5e94e579,0.00%,7.078MiB,0.35%,6.87kB / 5.05kB,0B / 0B
2026-08-07T14:50:16.518894+00:00,dev-peer0.org1.example.com-sl-ledger_1.0-470c7b267d0276d2c935cc5d168e0b4ff003335940b5924ccd0e77bd5e94e579,0.00%,6.531MiB,0.32%,12kB / 8.6kB,0B / 0B
2026-08-07T14:50:16.518894+00:00,dev-peer0.org2.example.com-sl-ledger_1.0-470c7b267d0276d2c935cc5d168e0b4ff003335940b5924ccd0e77bd5e94e579,0.00%,6.688MiB,0.33%,9.19kB / 7.26kB,0B / 0B
2026-08-07T14:50:16.518894+00:00,peer0.org3.example.com,1.72%,103.4MiB,0.88%,14.9MB / 1.27MB,0B / 14.2MB
2026-08-07T14:50:16.518894+00:00,couchdb4,0.62%,94.22MiB,0.80%,227kB / 97kB,0B / 1.48MB
2026-08-07T14:50:16.518894+00:00,ca_org3,0.00%,9.07MiB,0.08%,28.5kB / 45kB,65.5kB / 0B
2026-08-07T14:50:16.518894+00:00,peer0.org2.example.com,1.81%,84.14MiB,0.71%,15MB / 1.32MB,2.15MB / 14.2MB
2026-08-07T14:50:16.518894+00:00,peer0.org1.example.com,1.96%,86.42MiB,0.73%,15MB / 1.36MB,4.3MB / 24.7MB
2026-08-07T14:50:16.518894+00:00,couchdb1,0.19%,105.8MiB,0.90%,241kB / 116kB,17.1MB / 1.48MB
2026-08-07T14:50:16.518894+00:00,couchdb0,0.20%,99.79MiB,0.85%,244kB / 122kB,13.6MB / 1.48MB
2026-08-07T14:50:16.518894+00:00,orderer.example.com,0.09%,14.27MiB,0.12%,148kB / 728kB,27.2MB / 463kB
2026-08-07T14:50:16.518894+00:00,ca_org1,0.00%,9.129MiB,0.08%,33.3kB / 50kB,4.1kB / 0B
2026-08-07T14:50:16.518894+00:00,ca_org2,0.00%,9.195MiB,0.08%,30.8kB / 44.4kB,4.1kB / 0B
2026-08-07T14:50:16.518894+00:00,ca_orderer,0.00%,9.211MiB,0.08%,54.3kB / 86.6kB,426kB / 0B
2026-08-07T14:50:20.697902+00:00,dev-peer0.org3.example.com-sl-ledger_1.0-470c7b267d0276d2c935cc5d168e0b4ff003335940b5924ccd0e77bd5e94e579,0.00%,7.078MiB,0.35%,7kB / 5.18kB,0B / 0B
2026-08-07T14:50:20.697902+00:00,dev-peer0.org1.example.com-sl-ledger_1.0-470c7b267d0276d2c935cc5d168e0b4ff003335940b5924ccd0e77bd5e94e579,0.00%,6.531MiB,0.32%,12kB / 8.6kB,0B / 0B
2026-08-07T14:50:20.697902+00:00,dev-peer0.org2.example.com-sl-ledger_1.0-470c7b267d0276d2c935cc5d168e0b4ff003335940b5924ccd0e77bd5e94e579,0.00%,6.688MiB,0.33%,9.19kB / 7.26kB,0B / 0B
2026-08-07T14:50:20.697902+00:00,peer0.org3.example.com,1.92%,103.4MiB,0.88%,14.9MB / 1.28MB,0B / 14.2MB
2026-08-07T14:50:20.697902+00:00,couchdb4,0.20%,94.22MiB,0.80%,227kB / 97kB,0B / 1.48MB
2026-08-07T14:50:20.697902+00:00,ca_org3,0.00%,9.07MiB,0.08%,28.5kB / 45kB,65.5kB / 0B
2026-08-07T14:50:20.697902+00:00,peer0.org2.example.com,1.97%,84.14MiB,0.71%,15MB / 1.33MB,2.15MB / 14.2MB
2026-08-07T14:50:20.697902+00:00,peer0.org1.example.com,2.34%,86.18MiB,0.73%,15MB / 1.36MB,4.3MB / 24.7MB
2026-08-07T14:50:20.697902+00:00,couchdb1,0.31%,105.8MiB,0.90%,241kB / 116kB,17.1MB / 1.48MB
2026-08-07T14:50:20.697902+00:00,couchdb0,0.28%,99.79MiB,0.85%,244kB / 122kB,13.6MB / 1.48MB
2026-08-07T14:50:20.697902+00:00,orderer.example.com,0.12%,14.27MiB,0.12%,148kB / 729kB,27.2MB / 463kB
2026-08-07T14:50:20.697902+00:00,ca_org1,0.00%,9.129MiB,0.08%,33.3kB / 50kB,4.1kB / 0B
2026-08-07T14:50:20.697902+00:00,ca_org2,0.00%,9.195MiB,0.08%,30.8kB / 44.4kB,4.1kB / 0B
2026-08-07T14:50:20.697902+00:00,ca_orderer,0.00%,9.211MiB,0.08%,54.3kB / 86.6kB,426kB / 0B
2026-08-07T14:50:24.624183+00:00,dev-peer0.org3.example.com-sl-ledger_1.0-470c7b267d0276d2c935cc5d168e0b4ff003335940b5924ccd0e77bd5e94e579,0.00%,7.078MiB,0.35%,7kB / 5.18kB,0B / 0B
2026-08-07T14:50:24.624183+00:00,dev-peer0.org1.example.com-sl-ledger_1.0-470c7b267d0276d2c935cc5d168e0b4ff003335940b5924ccd0e77bd5e94e579,0.00%,6.531MiB,0.32%,12kB / 8.6kB,0B / 0B
2026-08-07T14:50:24.624183+00:00,dev-peer0.org2.example.com-sl-ledger_1.0-470c7b267d0276d2c935cc5d168e0b4ff003335940b5924ccd0e77bd5e94e579,0.00%,6.688MiB,0.33%,9.19kB / 7.26kB,0B / 0B
2026-08-07T14:50:24.624183+00:00,peer0.org3.example.com,1.96%,103.4MiB,0.88%,14.9MB / 1.29MB,0B / 14.2MB
2026-08-07T14:50:24.624183+00:00,couchdb4,0.21%,94.22MiB,0.80%,227kB / 97kB,0B / 1.48MB
2026-08-07T14:50:24.624183+00:00,ca_org3,0.00%,9.07MiB,0.08%,28.5kB / 45kB,65.5kB / 0B
2026-08-07T14:50:24.624183+00:00,peer0.org2.example.com,1.89%,81.45MiB,0.69%,15MB / 1.33MB,2.15MB / 14.2MB
