round,node_id,org,train_seconds,weight_size_bytes,submit_latency_s,query_latency_s,agg_latency_s,ledger_size_bytes_before,ledger_size_bytes_after
2,node-org1,1,0.0705,5712,2.4208,0.3116,,,
2,node-org2,2,0.0289,5712,2.4128,0.3512,,,
2,node-org3,3,0.0278,5712,2.5407,0.3005,,,
2,__aggregation__,3,,5712,,,2.3900,339948,370412
3,node-org1,1,0.0277,5712,2.3592,0.3301,,,
3,node-org2,2,0.0180,5712,2.3608,0.3217,,,
3,node-org3,3,0.0418,5712,2.3972,0.3300,,,
3,__aggregation__,1,,5712,,,2.3956,370412,400852
4,node-org1,1,0.0371,5712,2.3845,0.2999,,,
4,node-org2,2,0.0360,5712,2.3963,0.3137,,,
4,node-org3,3,0.0352,5712,2.4245,0.2995,,,
4,__aggregation__,2,,5712,,,2.3931,400852,431290
5,node-org1,1,0.0346,5712,2.4841,0.4846,,,
5,node-org2,2,0.0416,5712,2.4055,0.3179,,,
5,node-org3,3,0.0389,5712,2.3847,0.2627,,,
5,__aggregation__,3,,5712,,,2.3923,431290,461753
6,node-org1,1,0.0294,5712,2.3809,0.2748,,,
6,node-org2,2,0.0292,5712,2.4033,0.3187,,,
6,node-org3,3,0.0387,5712,2.4165,0.3370,,,
6,__aggregation__,1,,5712,,,2.3927,461753,492198
